Untuk tipe periode ""Berulang"", tanggal berakhir harus kelipatan dari jumlah hari. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, jika kamu ingin pengaturan ini diulang 2x (3 periode), tanggal berakhir = 2021-05-30.",
23526187433,"Bunga potong Mawar Holland fresh bunga besar harga pertangkai - Merah, 1 tangkai",213902936316,"Ungu,1 tangkai",,new21feb2023_11,2500,,3000,,,,,,
23526187433,"Bunga potong Mawar Holland fresh bunga besar harga pertangkai - Merah, 1 tangkai",213902936313,"Pink fanta,1 tangkai",,new21feb2023_6,2500,,3000,,,,,,
23526187433,"Bunga potong Mawar Holland fresh bunga besar harga pertangkai - Merah, 1 tangkai",213902936314,"Pink cantik,1 tangkai",,new21feb2023_9,2500,,3000,,,,,,
23526187433,"Bunga potong Mawar Holland fresh bunga besar harga pertangkai - Merah, 1 tangkai",213902936311,"Pink soft,1 tangkai",,new21feb2023_7,2200,,3000,,,,,,
23520738855,Tanaman Herbal Feverfew atau Tanacetum parthenium,39245444234,,tbh26jan2023_33,,15000,,962,0,,,,,
23502568338,Bibit buah tho atau suriname cherry,212942430870,,,,24900,,999,0,,,,,
23502568029,Tanaman aglonema siam aurora,49147169278,,,,29900,,999,0,,,,,
23501811940,Tanaman Alocasia Cuprea atau keladi tengkorak,156077352625,,,,59900,,999,0,,,,,
23501811755,Philo merpati hijau atau florida,220084030744,,,,26100,,999,0,,,,,
23501811599,Tanaman Hias Philo Congo merah rimbun,164864813523,,,,22500,,999,0,,,,,
23471983124,"Tanaman Cemara wangi, Aroma pinus.",225348934882,,C_03,,19800,,970,0,,,,,
23471983049,Tanaman Cemara rentes 60cm,206839718962,,C_07,,22000,,996,0,,,,,
23471982972,Tanaman Cemara udang bahan bonsai,216839726078,,C_05,,19900,,381,0,,,,,
23426187430,"Mawar Potong fresh 1 ikat isi 25 tangkai. bahan dekorasi/buket. - Putih, 1 ikat",117957645955,"1 ikat,Salem",new21feb2023_15,new21feb2023_77,69000,,1996,1,,,,,
23426187430,"Mawar Potong fresh 1 ikat isi 25 tangkai. bahan dekorasi/buket. - Putih, 1 ikat",117957645956,"1 ikat,Putih",,new21feb2023_15,69000,,1978,,,,,,
